intent,example
セラピスト確認,深夜にいるセラピスト教えて
セラピスト確認,出先なんですけど、出勤してる子教えて
セラピスト確認,22時前出勤してる人は誰ですか
セラピスト確認,終電前出勤してる人は誰ですか
セラピスト確認,夕方出勤してる人は誰ですか
セラピスト確認,ちょっと、どんな人がいます？
セラピスト確認,落ち着いた人みたいな感じの人います？
セラピスト確認,写真見れますか？
セラピスト確認,1時間後出勤してる人は誰ですか
セラピスト確認,悪いんだけど、写真見れますか？
セラピスト確認,お兄さん、新人さんいます？
セラピスト確認,フリーだと夕方誰になります？
セラピスト確認,今いいですか、セラピスト誰います？
セラピスト確認,20時にいるセラピスト教えて
セラピスト確認,今日話しやすい人指名できますか
セラピスト確認,飲んでてすみません、写真見れますか？
セラピスト確認,平日の夜にいるセラピスト教えて
セラピスト確認,明日の昼にいるセラピスト教えて
セラピスト確認,美咲さんは空いてます？
セラピスト確認,あー、どんな人がいます？
セラピスト確認,フリーだと誰になります？
セラピスト確認,さっき電話した者ですけど、どんな人がいます？
セラピスト確認,前に入った子みたいな感じの人います？
セラピスト確認,出勤してる子教えて
セラピスト確認,40分後に入れるセラピスト誰ですか
セラピスト確認,あー、写真見れますか？
セラピスト確認,さっき電話した者ですけど、新人さんいます？
セラピスト確認,どんな人がいます？
セラピスト確認,えーとですね、出勤してる子教えて
セラピスト確認,えーとですね、前の人いますか？
セラピスト確認,仕事終わりなんですけど、出勤してる子教えて
セラピスト確認,玲奈さんは空いてます？
セラピスト確認,えーとですね、写真見れますか？
セラピスト確認,もしもし、今空いてるセラピストいます？
セラピスト確認,19時にいるセラピスト教えて
セラピスト確認,出先なんですけど、写真見れますか？
セラピスト確認,120分で入れる人います？
セラピスト確認,フリーだと21時くらい誰になります？
セラピスト確認,飲んでてすみません、セラピスト誰います？
セラピスト確認,山田で前回入った人分かります？
セラピスト確認,今日誰おるん？
セラピスト確認,20時出勤してる人は誰ですか
セラピスト確認,担当は誰になります？
セラピスト確認,10分後に入れるセラピスト誰ですか
セラピスト確認,出先なんですけど、セラピスト誰います？
セラピスト確認,1時間後に入れるセラピスト誰ですか
セラピスト確認,21時くらいにいるセラピスト教えて
セラピスト確認,ちょっと酔ってるんだけど、セラピスト誰います？
セラピスト確認,21時くらい出勤してる人は誰ですか
セラピスト確認,おすすめのコースで入れる人います？
セラピスト確認,えーとですね、新人さんいます？
セラピスト確認,ベテランの方今日いますか
セラピスト確認,60分で入れる人います？
セラピスト確認,飲んでてすみません、新人さんいます？
セラピスト確認,鈴木で前回入った人分かります？
セラピスト確認,ちょっと、セラピスト誰います？
セラピスト確認,すいません、どんな人がいます？
セラピスト確認,夜にいるセラピスト教えて
セラピスト確認,ちょっと酔ってるんだけど、出勤してる子教えて
セラピスト確認,電波悪いかもですけど、新人さんいます？
セラピスト確認,すみません、今日誰がいますか？
セラピスト確認,少し後に入れるセラピスト誰ですか
セラピスト確認,玲奈さんみたいな感じの人います？
セラピスト確認,今からいるセラピスト教えて
セラピスト確認,さっき電話した者ですけど、前の人いますか？
セラピスト確認,お兄さん、どんな人がいます？
セラピスト確認,今晩出勤してる人は誰ですか
セラピスト確認,玲奈さん今日いますか
セラピスト確認,飲んでてすみません、前の人いますか？
セラピスト確認,すいません、セラピスト誰います？
おすすめ確認,初めてなんですけど、おすすめ誰ですか？
おすすめ確認,すいません、今日のおすすめ教えて
おすすめ確認,あー、落ち着いた人でおすすめあります？
おすすめ確認,30分後に入れるおすすめあります？
おすすめ確認,19時なら誰がおすすめですか
おすすめ確認,すいません、会話しやすい人がいいです
おすすめ確認,すいません、おすすめ誰ですか？
おすすめ確認,前にも行ったんですけど、初めてなら誰がいい？
おすすめ確認,あー、会話しやすい人がいいです
おすすめ確認,落ち着いた感じなら話しやすい人ですか
おすすめ確認,落ち着いた感じなら美咲さんですか
おすすめ確認,急でごめん、おすすめ誰ですか？
おすすめ確認,悪いんだけど、優しい人がいいです
おすすめ確認,少し後に入れるおすすめあります？
おすすめ確認,えーとですね、フリーなら誰がおすすめ？
おすすめ確認,急でごめん、フリーなら誰がおすすめ？
おすすめ確認,平日の夜なら誰がおすすめですか
おすすめ確認,飲んでてすみません、フリーなら誰がおすすめ？
おすすめ確認,初めてなんですけど、疲れてるので癒し系がいい
おすすめ確認,ロングでおすすめの人います？
おすすめ確認,すみません、優しい人がいいです
おすすめ確認,出先なんですけど、フリーなら誰がおすすめ？
おすすめ確認,明るい人でおすすめは？
おすすめ確認,えっと、落ち着いた人でおすすめあります？
おすすめ確認,今なら誰がいいですか
おすすめ確認,ちょっと、初めてなら誰がいい？
おすすめ確認,短いやつでおすすめの人います？
おすすめ確認,疲れてるので癒し系がいい
おすすめ確認,悪いんだけど、会話しやすい人がいいです
おすすめ確認,お兄さん、初めてなら誰がいい？
おすすめ確認,お兄さん、落ち着いた人でおすすめあります？
おすすめ確認,えーとですね、落ち着いた人でおすすめあります？
おすすめ確認,急でごめん、落ち着いた人でおすすめあります？
おすすめ確認,落ち着いた感じなら前に入った子ですか
おすすめ確認,あー、今日のおすすめ教えて
おすすめ確認,初回向きの人教えて
おすすめ確認,あの、優しい人がいいです
おすすめ確認,仕事終わりなんですけど、人気の人います？
おすすめ確認,電波悪いかもですけど、会話しやすい人がいいです
おすすめ確認,落ち着いた感じなら今日いる子ですか
おすすめ確認,フリーなら週末誰が良さそう？
おすすめ確認,話しやすい人と迷ってるんですけどおすすめは？
おすすめ確認,仕事終わりなんですけど、今日のおすすめ教えて
おすすめ確認,すみません、会話しやすい人がいいです
おすすめ確認,フリーなら21時くらい誰が良さそう？
おすすめ確認,えーとですね、おすすめ誰ですか？
おすすめ確認,60分なら誰が合います？
おすすめ確認,フリーならこのあと誰が良さそう？
おすすめ確認,フリーなら今日誰が良さそう？
おすすめ確認,外れにくい人でお願いします
おすすめ確認,もしもし、優しい人がいいです
おすすめ確認,あの、会話しやすい人がいいです
おすすめ確認,もしもし、人気の人います？
おすすめ確認,前にも行ったんですけど、会話しやすい人がいいです
おすすめ確認,疲れてるんで90分でおすすめあります？
おすすめ確認,疲れてるんで初回コースでおすすめあります？
おすすめ確認,今日の推しおる？
おすすめ確認,電波悪いかもですけど、人気の人います？
おすすめ確認,急でごめん、今日のおすすめ教えて
おすすめ確認,疲れてるんでスタンダードでおすすめあります？
おすすめ確認,もしもし、落ち着いた人でおすすめあります？
おすすめ確認,ちょっと酔ってるんだけど、優しい人がいいです
おすすめ確認,すみません、おすすめ誰ですか？
おすすめ確認,優しい人がいいです
おすすめ確認,90分でおすすめの人います？
おすすめ確認,さっき電話した者ですけど、落ち着いた人でおすすめあります？
おすすめ確認,すいません、疲れてるので癒し系がいい
おすすめ確認,もしもし、おすすめ誰ですか？
おすすめ確認,さっき電話した者ですけど、優しい人がいいです
おすすめ確認,えーとですね、人気の人います？
おすすめ確認,ちょっと、フリーなら誰がおすすめ？
おすすめ確認,初回コースでおすすめの人います？
おすすめ確認,前にも行ったんですけど、今日のおすすめ教えて
おすすめ確認,おすすめのコースなら誰が合います？
おすすめ確認,今日のおすすめ教えて
おすすめ確認,美咲さんと迷ってるんですけどおすすめは？
おすすめ確認,ちょっと酔ってるんだけど、落ち着いた人でおすすめあります？
おすすめ確認,初めてなんですけど、落ち着いた人でおすすめあります？
おすすめ確認,すいません、人気の人います？
おすすめ確認,すいません、フリーなら誰がおすすめ？
おすすめ確認,悪いんだけど、疲れてるので癒し系がいい
おすすめ確認,えっと、初めてなら誰がいい？
おすすめ確認,すみません、落ち着いた人でおすすめあります？
おすすめ確認,飲んでてすみません、今日のおすすめ教えて
おすすめ確認,夜なら誰がおすすめですか
おすすめ確認,今からなら誰がおすすめですか
おすすめ確認,静かめの人います？
おすすめ確認,フリーなら終電前誰が良さそう？
おすすめ確認,60分でおすすめの人います？
おすすめ確認,今いいですか、初めてなら誰がいい？
おすすめ確認,会話しやすい人がいいです
おすすめ確認,初めてやったら誰がええ？
おすすめ確認,電波悪いかもですけど、初めてなら誰がいい？
おすすめ確認,落ち着いた感じなら落ち着いた人ですか
おすすめ確認,仕事終わりなんですけど、優しい人がいいです
おすすめ確認,フリーなら誰がおすすめ？
おすすめ確認,仕事終わりなんですけど、会話しやすい人がいいです
おすすめ確認,えーとですね、初めてなら誰がいい？
おすすめ確認,フリーなら23時誰が良さそう？
おすすめ確認,さっき電話した者ですけど、初めてなら誰がいい？
おすすめ確認,今いいですか、フリーなら誰がおすすめ？
おすすめ確認,今いいですか、疲れてるので癒し系がいい
おすすめ確認,ちょっと酔ってるんだけど、フリーなら誰がおすすめ？
おすすめ確認,飲んでてすみません、おすすめ誰ですか？
おすすめ確認,前にも行ったんですけど、おすすめ誰ですか？
おすすめ確認,あの、落ち着いた人でおすすめあります？
おすすめ確認,今いいですか、優しい人がいいです
おすすめ確認,今いいですか、おすすめ誰ですか？
おすすめ確認,あの、疲れてるので癒し系がいい
おすすめ確認,90分なら誰が合います？
おすすめ確認,悪いんだけど、人気の人います？
おすすめ確認,フリーなら19時誰が良さそう？
おすすめ確認,無難な人でお願いします
おすすめ確認,すいません、優しい人がいいです
おすすめ確認,ちょっと、優しい人がいいです
おすすめ確認,出先なんですけど、初めてなら誰がいい？
おすすめ確認,20時なら誰がおすすめですか
おすすめ確認,仕事終わりなんですけど、フリーなら誰がおすすめ？
おすすめ確認,40分後に入れるおすすめあります？
おすすめ確認,すみません、今日のおすすめ教えて
おすすめ確認,えっと、人気の人います？
おすすめ確認,ちょっと、おすすめ誰ですか？
おすすめ確認,あの、今日のおすすめ教えて
おすすめ確認,誰がええと思う？
おすすめ確認,フリーなら20時誰が良さそう？
おすすめ確認,急でごめん、初めてなら誰がいい？
おすすめ確認,えっと、今日のおすすめ教えて
おすすめ確認,葵さんと迷ってるんですけどおすすめは？
おすすめ確認,えーとですね、会話しやすい人がいいです
おすすめ確認,ちょっと、今日のおすすめ教えて
おすすめ確認,フリーなら明日の夜誰が良さそう？
おすすめ確認,もしもし、初めてなら誰がいい？
おすすめ確認,飲んでてすみません、初めてなら誰がいい？
おすすめ確認,お兄さん、今日のおすすめ教えて
おすすめ確認,フリーなら夜誰が良さそう？
おすすめ確認,スタンダードなら誰が合います？
おすすめ確認,フリーなら明日の昼誰が良さそう？
おすすめ確認,すみません、初めてなら誰がいい？
おすすめ確認,終電前なら誰がおすすめですか
おすすめ確認,口コミいい人います、おすすめ相談で
おすすめ確認,疲れてるんで60分でおすすめあります？
おすすめ確認,もしもし、フリーなら誰がおすすめ？
おすすめ確認,仕事終わりなんですけど、初めてなら誰がいい？
おすすめ確認,今いいですか、会話しやすい人がいいです
おすすめ確認,もうおすすめでいいです
おすすめ確認,さっき電話した者ですけど、人気の人います？
おすすめ確認,えっと、会話しやすい人がいいです
おすすめ確認,仕事終わりなら誰がおすすめですか
おすすめ確認,フリーなら今晩誰が良さそう？
おすすめ確認,初回コースなら誰が合います？
おすすめ確認,フリーなら平日の夜誰が良さそう？
おすすめ確認,飲んでてすみません、会話しやすい人がいいです
おすすめ確認,1時間後に入れるおすすめあります？
おすすめ確認,さっき電話した者ですけど、会話しやすい人がいいです
おすすめ確認,疲れてるんでおすすめのコースでおすすめあります？
おすすめ確認,お兄さん、優しい人がいいです
おすすめ確認,落ち着いた感じなら新人さんですか
おすすめ確認,120分でおすすめの人います？
おすすめ確認,ちょっと、人気の人います？
おすすめ確認,疲れてるんで短いやつでおすすめあります？
おすすめ確認,初めてなんですけど、人気の人います？
おすすめ確認,ちょっと酔ってるんだけど、人気の人います？
おすすめ確認,電波悪いかもですけど、落ち着いた人でおすすめあります？
おすすめ確認,急でごめん、人気の人います？
おすすめ確認,急でごめん、優しい人がいいです
おすすめ確認,初回でも大丈夫な人います？
おすすめ確認,21時くらいなら誰がおすすめですか
おすすめ確認,出先なんですけど、人気の人います？
おすすめ確認,仕事終わりなんですけど、おすすめ誰ですか？
おすすめ確認,疲れてるんで120分でおすすめあります？
おすすめ確認,週末なら誰がおすすめですか
おすすめ確認,すみません、人気の人います？
おすすめ確認,出先なんですけど、優しい人がいいです
おすすめ確認,あー、優しい人がいいです
おすすめ確認,落ち着いた感じなら葵さんですか
おすすめ確認,悪いんだけど、おすすめ誰ですか？
おすすめ確認,ちょっと、会話しやすい人がいいです
おすすめ確認,出先なんですけど、おすすめ誰ですか？
おすすめ確認,前にも行ったんですけど、人気の人います？
おすすめ確認,お兄さん、会話しやすい人がいいです
おすすめ確認,ちょっと酔ってるんだけど、おすすめ誰ですか？
おすすめ確認,20分後に入れるおすすめあります？
おすすめ確認,お兄さん、人気の人います？
おすすめ確認,今日なら誰がおすすめですか
おすすめ確認,落ち着いた感じならベテランの方ですか
おすすめ確認,初めてなんですけど、今日のおすすめ教えて
おすすめ確認,誰にしたらよか？
おすすめ確認,普通のコースでおすすめの人います？
おすすめ確認,電波悪いかもですけど、おすすめ誰ですか？
おすすめ確認,ちょっと酔ってるんだけど、会話しやすい人がいいです
おすすめ確認,もしもし、会話しやすい人がいいです
おすすめ確認,フリーなら仕事終わり誰が良さそう？
おすすめ確認,あー、おすすめ誰ですか？
おすすめ確認,迷ってるのでおすすめで
おすすめ確認,今晩なら誰がおすすめですか
おすすめ確認,落ち着いた人でおすすめあります？
おすすめ確認,もしもし、今日のおすすめ教えて
おすすめ確認,さっき電話した者ですけど、フリーなら誰がおすすめ？
おすすめ確認,初めてなんですけど、初めてなら誰がいい？
おすすめ確認,120分なら誰が合います？
おすすめ確認,フリーなら日曜誰が良さそう？
おすすめ確認,仕事終わりなんですけど、落ち着いた人でおすすめあります？
おすすめ確認,飲んでてすみません、落ち着いた人でおすすめあります？
おすすめ確認,おすすめ誰なん？
おすすめ確認,落ち着いた人と迷ってるんですけどおすすめは？
おすすめ確認,新人さんおすすめですか？
おすすめ確認,初めてなんですけど、フリーなら誰がおすすめ？
おすすめ確認,すいません、落ち着いた人でおすすめあります？
おすすめ確認,迷うから決めてほしい
おすすめ確認,急でごめん、会話しやすい人がいいです
おすすめ確認,22時前なら誰がおすすめですか
おすすめ確認,新人さんと迷ってるんですけどおすすめは？
おすすめ確認,夕方なら誰がおすすめですか
おすすめ確認,落ち着いた感じなら玲奈さんですか
おすすめ確認,疲れてるんで一番安いやつでおすすめあります？
おすすめ確認,前にも行ったんですけど、優しい人がいいです
おすすめ確認,前にも行ったんですけど、落ち着いた人でおすすめあります？
おすすめ確認,10分後に入れるおすすめあります？
おすすめ確認,スタンダードでおすすめの人います？
おすすめ確認,飲んでてすみません、人気の人います？
おすすめ確認,2時間後に入れるおすすめあります？
おすすめ確認,酔ってるから任せたい
おすすめ確認,疲れてるんで普通のコースでおすすめあります？
おすすめ確認,おすすめのコースでおすすめの人います？
おすすめ確認,悪いんだけど、フリーなら誰がおすすめ？
おすすめ確認,疲れてるんでロングでおすすめあります？
おすすめ確認,前にも行ったんですけど、フリーなら誰がおすすめ？
おすすめ確認,落ち着いた感じならkanaさんですか
おすすめ確認,さっき電話した者ですけど、今日のおすすめ教えて
おすすめ確認,フリーなら今から誰が良さそう？
おすすめ確認,出先なんですけど、会話しやすい人がいいです
おすすめ確認,ベテランの方と迷ってるんですけどおすすめは？
おすすめ確認,人気の人います？
おすすめ確認,今いいですか、落ち着いた人でおすすめあります？
おすすめ確認,えっと、フリーなら誰がおすすめ？
おすすめ確認,kanaさんと迷ってるんですけどおすすめは？
おすすめ確認,今日いる子と迷ってるんですけどおすすめは？
おすすめ確認,フリーなら22時前誰が良さそう？
おすすめ確認,電波悪いかもですけど、今日のおすすめ教えて
おすすめ確認,一番安いやつでおすすめの人います？
おすすめ確認,悪いんだけど、落ち着いた人でおすすめあります？
おすすめ確認,深夜なら誰がおすすめですか
おすすめ確認,初めてなら誰がいい？
おすすめ確認,明日の夜なら誰がおすすめですか
おすすめ確認,1時間後なら誰がおすすめですか
おすすめ確認,店長おすすめあります？
おすすめ確認,15分後に入れるおすすめあります？
おすすめ確認,お兄さん、フリーなら誰がおすすめ？
おすすめ確認,えーとですね、優しい人がいいです
おすすめ確認,ちょっと酔ってるんだけど、今日のおすすめ教えて
おすすめ確認,悪いんだけど、今日のおすすめ教えて
おすすめ確認,フリーなら深夜誰が良さそう？
おすすめ確認,短いやつなら誰が合います？
おすすめ確認,すみません、疲れてるので癒し系がいい
おすすめ確認,今いいですか、人気の人います？
おすすめ確認,悪いんだけど、初めてなら誰がいい？
おすすめ確認,前にも行ったんですけど、疲れてるので癒し系がいい
おすすめ確認,あー、初めてなら誰がいい？
おすすめ確認,電波悪いかもですけど、フリーなら誰がおすすめ？
おすすめ確認,フリーなら夕方誰が良さそう？
おすすめ確認,日曜なら誰がおすすめですか
おすすめ確認,あー、人気の人います？
おすすめ確認,ロングなら誰が合います？
おすすめ確認,あの、人気の人います？
おすすめ確認,出先なんですけど、落ち着いた人でおすすめあります？
おすすめ確認,えっと、おすすめ誰ですか？
おすすめ確認,電波悪いかもですけど、優しい人がいいです
おすすめ確認,えっと、優しい人がいいです
おすすめ確認,ちょっと酔ってるんだけど、初めてなら誰がいい？
おすすめ確認,あの、おすすめ誰ですか？
おすすめ確認,ちょっと、落ち着いた人でおすすめあります？
おすすめ確認,普通のコースなら誰が合います？
おすすめ確認,飲んでてすみません、優しい人がいいです
おすすめ確認,えーとですね、今日のおすすめ教えて
おすすめ確認,明日の昼なら誰がおすすめですか
おすすめ確認,一番安いやつなら誰が合います？
おすすめ確認,仕事終わりなんですけど、疲れてるので癒し系がいい
おすすめ確認,あー、フリーなら誰がおすすめ？
おすすめ確認,フリーなら1時間後誰が良さそう？
おすすめ確認,おすすめ誰ですか？
おすすめ確認,もしもし、疲れてるので癒し系がいい
おすすめ確認,前に入った子と迷ってるんですけどおすすめは？
おすすめ確認,初めてなんですけど、優しい人がいいです
おすすめ確認,さっき電話した者ですけど、疲れてるので癒し系がいい
おすすめ確認,23時なら誰がおすすめですか
おすすめ確認,今日の出勤で一番おすすめ誰？
おすすめ確認,ベテランの人がいいです
おすすめ確認,えっと、疲れてるので癒し系がいい
おすすめ確認,初めてなんですけど、会話しやすい人がいいです
おすすめ確認,さっき電話した者ですけど、おすすめ誰ですか？
おすすめ確認,あの、フリーなら誰がおすすめ？
おすすめ確認,このあとなら誰がおすすめですか
おすすめ確認,あの、初めてなら誰がいい？
おすすめ確認,ちょっと、疲れてるので癒し系がいい
おすすめ確認,お兄さん、おすすめ誰ですか？
おすすめ確認,すみません、フリーなら誰がおすすめ？
おすすめ確認,玲奈さんと迷ってるんですけどおすすめは？
おすすめ確認,出先なんですけど、今日のおすすめ教えて
おすすめ確認,すいません、初めてなら誰がいい？
おすすめ確認,今いいですか、今日のおすすめ教えて
紹介来店,今晩紹介で予約できますか
紹介来店,えーとですね、紹介で予約したいです
紹介来店,すいません、紹介割ありますか？
紹介来店,ちょっと酔ってるんだけど、紹介割ありますか？
紹介来店,知り合いから120分すすめられました
紹介来店,このあと紹介で予約できますか
紹介来店,えっと、紹介で電話しました
紹介来店,仕事終わりなんですけど、初めてで紹介なんですけど
紹介来店,仕事終わりなんですけど、紹介者の名前言えばいいですか
紹介来店,前に来た友人からロングすすめられました
紹介来店,夕方に紹介で予約できますか
紹介来店,さっき電話した者ですけど、紹介割ありますか？
紹介来店,前にも行ったんですけど、初めてで紹介なんですけど
紹介来店,紹介の名前メモしてます
紹介来店,もしもし、紹介割ありますか？
紹介来店,出先なんですけど、紹介者の名前言えばいいですか
紹介来店,常連の人にkanaさんがいいって聞きました
紹介来店,えっと、紹介者の名前言えばいいですか
紹介来店,あの、紹介で予約したいです
紹介来店,あー、紹介で予約したいです
紹介来店,出先なんですけど、初めてで紹介なんですけど
紹介来店,すみません、会社の先輩から聞きました
紹介来店,仕事終わりなんですけど、紹介で電話しました
紹介来店,出先なんですけど、紹介割ありますか？
紹介来店,悪いんだけど、初めてで紹介なんですけど
紹介来店,同僚から初回コースすすめられました
紹介来店,前にも行ったんですけど、紹介で予約したいです
紹介来店,友達から60分すすめられました
紹介来店,佐藤さんの名前出せばいいですか
紹介来店,えーとですね、常連さんに教えてもらいました
紹介来店,紹介してくれた人の紹介で初回です
紹介来店,もしもし、友達に聞いて電話しました
紹介来店,すみません、常連さんに教えてもらいました
紹介来店,あー、紹介で電話しました
紹介来店,出先なんですけど、常連さんに教えてもらいました
紹介来店,常連の人から場所聞きました
紹介来店,友達の紹介で初回です
紹介来店,紹介で初回いけますか
紹介来店,平日の夜、紹介で予約できますか
紹介来店,知り合いから場所聞きました
紹介来店,夜、紹介で予約できますか
紹介来店,佐藤さんに新人さんがいいって聞きました
紹介来店,悪いんだけど、常連さんに教えてもらいました
紹介来店,紹介してくれた人が前に行ったらしくて
紹介来店,ちょっと酔ってるんだけど、紹介で予約したいです
紹介来店,飲んでてすみません、紹介で予約したいです
紹介来店,すみません、紹介者の名前言えばいいですか
紹介来店,ちょっと、紹介で予約したいです
紹介来店,知り合いが前に行ったらしくて
紹介来店,えっと、知り合いから紹介されました
紹介来店,さっき電話した者ですけど、常連さんに教えてもらいました
紹介来店,お兄さん、常連さんに教えてもらいました
紹介来店,友達の名前出せばいいですか
紹介来店,知り合いから聞いたと
紹介来店,仕事終わりなんですけど、紹介割ありますか？
紹介来店,すいません、紹介者の名前言えばいいですか
紹介来店,もしもし、初めてで紹介なんですけど
紹介来店,明日の昼に紹介で予約できますか
紹介来店,今いいですか、紹介で電話しました
紹介来店,終電前に紹介で予約できますか
紹介来店,前にも行ったんですけど、常連さんに教えてもらいました
紹介来店,会社の先輩から聞きました
紹介来店,お兄さん、友達に聞いて電話しました
紹介来店,あー、紹介割ありますか？
紹介来店,佐藤さんから聞きました
紹介来店,今いいですか、初めてで紹介なんですけど
紹介来店,すいません、初めてで紹介なんですけど
紹介来店,友達に聞いて電話しました
紹介来店,紹介してくれた人から場所聞きました
紹介来店,前に来た友人が前に行ったらしくて
紹介来店,悪いんだけど、紹介割ありますか？
紹介来店,急でごめん、初めてで紹介なんですけど
紹介来店,会社の先輩から聞いて電話しました
紹介来店,すいません、友達に聞いて電話しました
紹介来店,ちょっと、紹介者の名前言えばいいですか
紹介来店,常連の人から短いやつすすめられました
紹介来店,急でごめん、常連さんに教えてもらいました
紹介来店,初めてなんですけど、紹介で電話しました
紹介来店,紹介してくれた人の紹介です
紹介来店,悪いんだけど、紹介者の名前言えばいいですか
紹介来店,誰の紹介か必要ですか
紹介来店,出先なんですけど、紹介で予約したいです
紹介来店,会社の先輩から90分すすめられました
紹介来店,すいません、知り合いから紹介されました
紹介来店,えっと、紹介割ありますか？
紹介来店,あの、紹介割ありますか？
紹介来店,電波悪いかもですけど、常連さんに教えてもらいました
紹介来店,飲んでてすみません、紹介で電話しました
紹介来店,紹介割あるん？
紹介来店,出先なんですけど、紹介で電話しました
紹介来店,悪いんだけど、友達に聞いて電話しました
紹介来店,あの、初めてで紹介なんですけど
紹介来店,山田さんから普通のコースすすめられました
紹介来店,知り合いの紹介で初回です
紹介来店,飲み屋の人の紹介で初回です
紹介来店,小林って名前で紹介扱いできます？
紹介来店,あの、常連さんに教えてもらいました
紹介来店,急でごめん、紹介で電話しました
紹介来店,もしもし、紹介で予約したいです
紹介来店,佐藤さんからスタンダードすすめられました
紹介来店,すいません、紹介で電話しました
紹介来店,飲んでてすみません、初めてで紹介なんですけど
紹介来店,誰の紹介って言えばええ？
紹介来店,もしもし、紹介者の名前言えばいいですか
紹介来店,急でごめん、友達に聞いて電話しました
紹介来店,さっき電話した者ですけど、紹介で電話しました
紹介来店,飲んでてすみません、友達に聞いて電話しました
紹介来店,大盛りって名前で紹介扱いできます？
紹介来店,前に来た友人から場所聞きました
紹介来店,22時前に紹介で予約できますか
紹介来店,酔った席で聞いて電話しました
紹介来店,さっき電話した者ですけど、友達に聞いて電話しました
紹介来店,飲み屋の人の紹介です
紹介来店,さっき電話した者ですけど、紹介で予約したいです
紹介来店,友達に聞いたんやけど
紹介来店,佐藤さんが前に行ったらしくて
紹介来店,紹介者の名前言えばいいですか
紹介来店,23時に紹介で予約できますか
紹介来店,知り合いから聞いて電話しました
紹介来店,お兄さん、紹介割ありますか？
紹介来店,急でごめん、知り合いから紹介されました
紹介来店,電波悪いかもですけど、知り合いから紹介されました
紹介来店,あー、友達に聞いて電話しました
紹介来店,深夜、紹介で予約できますか
紹介来店,お兄さん、知り合いから紹介されました
紹介来店,ちょっと酔ってるんだけど、紹介者の名前言えばいいですか
紹介来店,会社の先輩から場所聞きました
紹介来店,すいません、紹介で予約したいです
紹介来店,電波悪いかもですけど、初めてで紹介なんですけど
紹介来店,会社の先輩が前に行ったらしくて
紹介来店,紹介で来たんよ
紹介来店,出先なんですけど、知り合いから紹介されました
紹介来店,えっと、初めてで紹介なんですけど
紹介来店,お兄さん、紹介で電話しました
紹介来店,お兄さん、紹介者の名前言えばいいですか
紹介来店,あー、紹介者の名前言えばいいですか
紹介来店,急でごめん、紹介で予約したいです
紹介来店,ちょっと、常連さんに教えてもらいました
紹介来店,ちょっと、知り合いから紹介されました
紹介来店,今いいですか、友達に聞いて電話しました
紹介来店,ちょっと酔ってるんだけど、初めてで紹介なんですけど
紹介来店,中村って名前で紹介扱いできます？
紹介来店,1時間後に紹介で予約できますか
紹介来店,仕事終わりなんですけど、常連さんに教えてもらいました
紹介来店,前にも行ったんですけど、知り合いから紹介されました
紹介来店,今から紹介で予約できますか
紹介来店,常連の人の紹介で初回です
紹介来店,明日の夜、紹介で予約できますか
紹介来店,紹介で来店したいんですけど
紹介来店,山田さんに前に入った子がいいって聞きました
紹介来店,友達から聞いて電話しました
紹介来店,初めてなんですけど、紹介で予約したいです
紹介来店,あの、会社の先輩から聞きました
紹介来店,ちょっと、初めてで紹介なんですけど
紹介来店,週末に紹介で予約できますか
紹介来店,えーとですね、紹介で電話しました
紹介来店,紹介って言われたんですけど何言えばいい？
紹介来店,さっき電話した者ですけど、初めてで紹介なんですけど
紹介来店,前田って名前で紹介扱いできます？
紹介来店,山田って名前で紹介扱いできます？
紹介来店,悪いんだけど、知り合いから紹介されました
紹介来店,山田さんの紹介です
紹介来店,前に来た友人から聞いて電話しました
紹介来店,飲み屋の人から場所聞きました
紹介来店,伊藤って名前で紹介扱いできます？
紹介来店,会社の先輩の紹介で初回です
紹介来店,友達の紹介です
紹介来店,佐藤って名前で紹介扱いできます？
紹介来店,あの、友達に聞いて電話しました
紹介来店,前に来た友人の紹介です
紹介来店,前に来た友人の紹介で初回です
紹介来店,山田さんの紹介で初回です
紹介来店,紹介してくれた人からおすすめのコースすすめられました
紹介来店,ちょっと、紹介で電話しました
紹介来店,今いいですか、紹介で予約したいです
紹介来店,常連の人の名前出せばいいですか
紹介来店,初めてなんですけど、友達に聞いて電話しました
紹介来店,山田さんから聞いて電話しました
紹介来店,今いいですか、紹介割ありますか？
紹介来店,紹介で電話しました
紹介来店,もしもし、知り合いから紹介されました
紹介来店,飲んでてすみません、常連さんに教えてもらいました
紹介来店,あー、初めてで紹介なんですけど
紹介来店,紹介してくれた人に今日いる子がいいって聞きました
紹介来店,もしもし、常連さんに教えてもらいました
紹介来店,山田さんから場所聞きました
紹介来店,会社の先輩の紹介です
紹介来店,佐藤さんの紹介で初回です
紹介来店,常連の人が前に行ったらしくて
紹介来店,初めてなんですけど、常連さんに教えてもらいました
紹介来店,飲み屋の人の名前出せばいいですか
紹介来店,仕事終わりなんですけど、知り合いから紹介されました
紹介来店,お兄さん、初めてで紹介なんですけど
紹介来店,前にも行ったんですけど、友達に聞いて電話しました
紹介来店,飲んでてすみません、知り合いから紹介されました
紹介来店,急でごめん、紹介割ありますか？
紹介来店,飲んでてすみません、紹介割ありますか？
紹介来店,電波悪いかもですけど、紹介割ありますか？
紹介来店,会社の先輩の名前出せばいいですか
紹介来店,山田さんが前に行ったらしくて
紹介来店,もしもし、紹介で電話しました
